"nameWithOwner","stars__totalCount","createdAt","contributors","metrics__metric","metrics__value","metrics__bestValue"
"","","","","ncloc_language_distribution","java=329;kotlin=9400;py=136;web=429;xml=466",""
"","","","","complexity","1764",""
"","","","","violations","104","False"
"","","","","functions","824",""
"","","","","lines","12231",""
"","","","","comment_lines_density","5.9","False"
"","","","","code_smells","87","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","10760",""
"","","","","comment_lines","678",""
"","","","","statements","3199",""
"ajalt/timberkt","162","2016-06-29T03:42:05Z","2","files","6",""
"","","","","comment_lines_density","10.1","False"
"","","","","ncloc_language_distribution","kotlin=301;xml=21",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","36",""
"","","","","complexity","44",""
"","","","","code_smells","4","False"
"","","","","lines","401",""
"","","","","statements","233",""
"","","","","violations","4","False"
"","","","","ncloc","322",""
"","","","","functions","41",""
"ResoCoder/forecast-mvvm-android-kotlin","162","2018-10-20T19:07:46Z","1","ncloc_language_distribution","kotlin=1459;xml=921",""
"","","","","comment_lines","17",""
"","","","","ncloc","2380",""
"","","","","files","83",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","0.7","False"
"","","","","code_smells","1","False"
"","","","","violations","1","False"
"","","","","lines","2786",""
"","","","","functions","82",""
"","","","","statements","284",""
"","","","","complexity","110",""
"nominalista/expenses","162","2018-05-25T12:10:47Z","3","functions","383",""
"","","","","comment_lines","149",""
"","","","","comment_lines_density","2.7","False"
"","","","","code_smells","1","False"
"","","","","files","155",""
"","","","","complexity","526",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","5427",""
"","","","","statements","1209",""
"","","","","violations","1","False"
"","","","","lines","6634",""
"","","","","ncloc_language_distribution","kotlin=3843;xml=1584",""
"AxeChen/WanAndroid","162","2018-03-15T01:20:01Z","1","ncloc_language_distribution","java=750;kotlin=6041;xml=2554",""
"","","","","files","182",""
"","","","","comment_lines","945",""
"","","","","comment_lines_density","9.2","False"
"","","","","code_smells","71","False"
"","","","","ncloc","9345",""
"","","","","lines","11695",""
"","","","","statements","2313",""
"","","","","violations","72","False"
"","","","","sqale_rating","1.0","True"
"","","","","functions","569",""
"","","","","complexity","894",""
"Trendyol/BubbleScrollBar","162","2018-12-04T11:41:55Z","3","ncloc","911",""
"","","","","comment_lines","18",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","1.9","False"
"","","","","code_smells","6","False"
"","","","","complexity","92",""
"","","","","lines","1106",""
"","","","","ncloc_language_distribution","java=226;kotlin=397;xml=288",""
"","","","","functions","76",""
"","","","","violations","7","False"
"","","","","files","38",""
"","","","","statements","204",""
"skydoves/ProgressView","161","2019-08-22T05:49:10Z","1","code_smells","0","True"
"","","","","sqale_rating","1.0","True"
"","","","","files","28",""
"","","","","comment_lines","222",""
"","","","","comment_lines_density","14.5","False"
"","","","","statements","365",""
"","","","","complexity","99",""
"","","","","lines","1658",""
"","","","","ncloc","1313",""
"","","","","violations","0","True"
"","","","","ncloc_language_distribution","kotlin=710;xml=603",""
"","","","","functions","72",""
"jarroyoesp/KotlinMultiPlatform","161","2019-05-07T11:17:48Z","1","sqale_rating","1.0","True"
"","","","","lines","4023",""
"","","","","statements","565",""
"","","","","comment_lines","310",""
"","","","","files","130",""
"","","","","code_smells","60","False"
"","","","","complexity","247",""
"","","","","ncloc","3101",""
"","","","","functions","180",""
"","","","","comment_lines_density","9.1","False"
"","","","","ncloc_language_distribution","js=28;kotlin=2367;web=25;xml=681",""
"","","","","violations","60","False"
"Yalantis/Koloda-Android","161","2018-02-22T14:58:56Z","4","complexity","154",""
"","","","","ncloc_language_distribution","java=24;kotlin=948;xml=360",""
"","","","","statements","376",""
"","","","","sqale_rating","1.0","True"
"","","","","files","31",""
"","","","","ncloc","1332",""
"","","","","lines","1616",""
"","","","","comment_lines","96",""
"","","","","comment_lines_density","6.7","False"
"","","","","functions","96",""
"","","","","violations","21","False"
"","","","","code_smells","21","False"
"yhaolpz/Smile","161","2017-09-10T06:16:11Z","1","violations","20","False"
"","","","","lines","2764",""
"","","","","files","60",""
"","","","","functions","117",""
"","","","","complexity","195",""
"","","","","comment_lines_density","5.2","False"
"","","","","code_smells","20","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","kotlin=1493;xml=821",""
"","","","","comment_lines","127",""
"","","","","ncloc","2314",""
"","","","","statements","478",""
"thesurix/gesture-recycler","161","2016-03-09T21:24:58Z","1","sqale_rating","1.0","True"
"","","","","ncloc","2254",""
"","","","","statements","569",""
"","","","","comment_lines_density","13.2","False"
"","","","","code_smells","22","False"
"","","","","comment_lines","344",""
"","","","","lines","2734",""
"","","","","complexity","221",""
"","","","","violations","22","False"
"","","","","functions","144",""
"","","","","files","60",""
"","","","","ncloc_language_distribution","java=522;kotlin=1365;xml=367",""
"vert-x3/vertx-lang-kotlin","161","2016-10-31T16:35:38Z","12","ncloc_language_distribution","java=762;kotlin=37234;xml=1344",""
"","","","","functions","662",""
"","","","","comment_lines_density","32.4","False"
"","","","","complexity","4286",""
"","","","","violations","439","False"
"","","","","code_smells","431","False"
"","","","","lines","47640",""
"","","","","statements","10754",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","39340",""
"","","","","files","353",""
"","","","","comment_lines","18826",""
"StephenVinouze/AdvancedRecyclerView","161","2016-04-26T10:19:58Z","2","functions","143",""
"","","","","comment_lines_density","6.8","False"
"","","","","violations","5","False"
"","","","","code_smells","5","False"
"","","","","statements","531",""
"","","","","complexity","227",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","2633",""
"","","","","ncloc_language_distribution","java=503;kotlin=1064;xml=556",""
"","","","","comment_lines","154",""
"","","","","ncloc","2123",""
"","","","","files","73",""
"gregsh/Clojure-Kit","160","2016-08-01T20:07:12Z","3","statements","4954",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","14026",""
"","","","","files","104",""
"","","","","comment_lines_density","7.3","False"
"","","","","violations","373","False"
"","","","","code_smells","370","False"
"","","","","functions","1187",""
"","","","","ncloc_language_distribution","java=2305;kotlin=8432;web=9;xml=831",""
"","","","","ncloc","11577",""
"","","","","comment_lines","905",""
"","","","","complexity","3339",""
"eddywm/KTFLITE","160","2018-05-05T22:30:17Z","1","statements","104",""
"","","","","comment_lines","11",""
"","","","","ncloc","719",""
"","","","","code_smells","6","False"
"","","","","files","20",""
"","","","","lines","844",""
"","","","","comment_lines_density","1.5","False"
"","","","","sqale_rating","1.0","True"
"","","","","violations","6","False"
"","","","","ncloc_language_distribution","java=15;kotlin=223;xml=481",""
"","","","","functions","19",""
"","","","","complexity","26",""
"spring-petclinic/spring-petclinic-kotlin","160","2017-09-01T16:55:32Z","35","code_smells","58","False"
"","","","","ncloc","9327",""
"","","","","violations","89","False"
"","","","","ncloc_language_distribution","css=7387;kotlin=1487;web=447;xml=6",""
"","","","","functions","91",""
"","","","","statements","288",""
"","","","","lines","10202",""
"","","","","comment_lines","717",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","7.1","False"
"","","","","files","56",""
"","","","","complexity","122",""
"mythz/kotlin-linq-examples","159","2015-12-11T17:17:31Z","4","ncloc","1239",""
"","","","","ncloc_language_distribution","kotlin=1035;xml=204",""
"","","","","lines","1638",""
"","","","","functions","109",""
"","","","","complexity","133",""
"","","","","comment_lines","17",""
"","","","","comment_lines_density","1.4","False"
"","","","","sqale_rating","1.0","True"
"","","","","statements","682",""
"","","","","code_smells","6","False"
"","","","","files","38",""
"","","","","violations","6","False"
"yole/jkid","158","2016-05-06T16:26:56Z","6","ncloc_language_distribution","kotlin=1006",""
"","","","","lines","1266",""
"","","","","comment_lines_density","0.1","False"
"","","","","code_smells","0","True"
"","","","","comment_lines","1",""
"","","","","ncloc","1006",""
"","","","","statements","345",""
"","","","","files","23",""
"","","","","functions","128",""
"","","","","violations","0","True"
"","","","","sqale_rating","1.0","True"
"","","","","complexity","210",""
"algolia/voice-overlay-android","158","2018-07-06T08:46:17Z","2","violations","13","False"
"","","","","ncloc","1438",""
"","","","","code_smells","13","False"
"","","","","comment_lines","94",""
"","","","","ncloc_language_distribution","java=114;kotlin=663;xml=661",""
"","","","","sqale_rating","1.0","True"
"","","","","files","44",""
"","","","","functions","69",""
"","","","","comment_lines_density","6.1","False"
"","","","","complexity","94",""
"","","","","lines","1730",""
"","","","","statements","223",""
"zekapp/Android-ProgressViews","158","2016-02-01T03:39:36Z","1","ncloc","709",""
"","","","","lines","948",""
"","","","","statements","200",""
"","","","","files","21",""
"","","","","sqale_rating","1.0","True"
"","","","","functions","32",""
"","","","","comment_lines_density","6.3","False"
"","","","","ncloc_language_distribution","java=34;kotlin=427;xml=248",""
"","","","","comment_lines","48",""
"","","","","complexity","45",""
"","","","","violations","12","False"
"","","","","code_smells","12","False"
"bazelbuild/rules_kotlin","157","2018-01-31T17:32:03Z","24","ncloc","4373",""
"","","","","files","68",""
"","","","","comment_lines","952",""
"","","","","ncloc_language_distribution","java=941;kotlin=2436;py=32;web=959;xml=5",""
"","","","","violations","70","False"
"","","","","lines","5939",""
"","","","","statements","1073",""
"","","","","comment_lines_density","17.9","False"
"","","","","complexity","379",""
"","","","","code_smells","66","False"
"","","","","functions","221",""
"","","","","sqale_rating","1.0","True"
"hasankucuk/SocialTextView","157","2019-07-19T08:51:22Z","1","ncloc","760",""
"","","","","files","26",""
"","","","","statements","161",""
"","","","","violations","4","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","1.3","False"
"","","","","functions","25",""
"","","","","lines","902",""
"","","","","complexity","71",""
"","","","","ncloc_language_distribution","kotlin=431;xml=329",""
"","","","","code_smells","4","False"
"","","","","comment_lines","10",""
"fkorotkov/k8s-kotlin-dsl","157","2017-03-14T06:01:29Z","3","comment_lines_density","3.7","False"
"","","","","functions","536",""
"","","","","lines","12286",""
"","","","","statements","3424",""
"","","","","comment_lines","315",""
"","","","","files","321",""
"","","","","complexity","1115",""
"","","","","violations","1","False"
"","","","","ncloc","8223",""
"","","","","ncloc_language_distribution","kotlin=8223",""
"","","","","code_smells","1","False"
"","","","","sqale_rating","1.0","True"
"hugocbpassos/waterfall-toolbar","157","2017-09-22T03:26:09Z","3","comment_lines","140",""
"","","","","violations","9","False"
"","","","","lines","1457",""
"","","","","functions","34",""
"","","","","files","32",""
"","","","","ncloc","1179",""
"","","","","ncloc_language_distribution","java=48;kotlin=429;xml=702",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","10.6","False"
"","","","","complexity","51",""
"","","","","code_smells","9","False"
"","","","","statements","151",""
"ZacSweers/palettehelper","156","2015-02-15T00:48:45Z","1","files","36",""
"","","","","complexity","216",""
"","","","","lines","2588",""
"","","","","comment_lines","294",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","11","False"
"","","","","statements","520",""
"","","","","ncloc_language_distribution","java=194;kotlin=1252;web=187;xml=446",""
"","","","","comment_lines_density","12.4","False"
"","","","","functions","85",""
"","","","","ncloc","2079",""
"","","","","violations","13","False"
"thomhurst/ExpandableHintText","156","2018-12-25T18:04:30Z","1","violations","7","False"
"","","","","code_smells","7","False"
"","","","","complexity","55",""
"","","","","files","30",""
"","","","","statements","216",""
"","","","","ncloc_language_distribution","kotlin=582;xml=582",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","1164",""
"","","","","functions","31",""
"","","","","comment_lines_density","5.7","False"
"","","","","lines","1327",""
"","","","","comment_lines","71",""
"adrielcafe/KrumbsView","156","2019-02-19T21:30:16Z","2","complexity","74",""
"","","","","comment_lines","2",""
"","","","","functions","35",""
"","","","","files","33",""
"","","","","lines","1007",""
"","","","","statements","185",""
"","","","","ncloc","879",""
"","","","","ncloc_language_distribution","kotlin=458;xml=421",""
"","","","","sqale_rating","1.0","True"
"","","","","violations","0","True"
"","","","","code_smells","0","True"
"","","","","comment_lines_density","0.2","False"
"bitvale/DroidMotion","156","2018-08-13T03:52:41Z","1","violations","2","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","47",""
"","","","","lines","1799",""
"","","","","functions","38",""
"","","","","complexity","62",""
"","","","","files","60",""
"","","","","comment_lines_density","2.9","False"
"","","","","code_smells","2","False"
"","","","","ncloc","1584",""
"","","","","ncloc_language_distribution","kotlin=602;xml=982",""
"","","","","statements","212",""
"XhstormR/GetBilibili","155","2016-09-17T02:54:31Z","1","functions","20",""
"","","","","comment_lines_density","2.1","False"
"","","","","lines","432",""
"","","","","complexity","45",""
"","","","","ncloc","375",""
"","","","","violations","6","False"
"","","","","code_smells","6","False"
"","","","","files","7",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","kotlin=375",""
"","","","","comment_lines","8",""
"","","","","statements","159",""
"the-dagger/MLKitAndroid","155","2018-05-13T22:11:54Z","2","ncloc_language_distribution","kotlin=708;xml=656",""
"","","","","comment_lines_density","3.7","False"
"","","","","complexity","81",""
"","","","","code_smells","5","False"
"","","","","violations","5","False"
"","","","","ncloc","1364",""
"","","","","lines","1595",""
"","","","","files","36",""
"","","","","statements","244",""
"","","","","comment_lines","52",""
"","","","","functions","50",""
"","","","","sqale_rating","1.0","True"
"wheat7/NationalGeographic","155","2017-09-26T15:45:50Z","1","sqale_rating","1.0","True"
"","","","","comment_lines","269",""
"","","","","lines","6732",""
"","","","","files","61",""
"","","","","ncloc","5924",""
"","","","","ncloc_language_distribution","java=198;kotlin=1403;xml=4323",""
"","","","","statements","535",""
"","","","","comment_lines_density","4.3","False"
"","","","","complexity","186",""
"","","","","code_smells","43","False"
"","","","","functions","103",""
"","","","","violations","51","False"
"consoleau/kotlin-jpa-specification-dsl","155","2016-09-15T06:09:17Z","3","complexity","50",""
"","","","","violations","36","False"
"","","","","comment_lines_density","7.2","False"
"","","","","code_smells","36","False"
"","","","","files","3",""
"","","","","functions","49",""
"","","","","statements","128",""
"","","","","ncloc_language_distribution","kotlin=376",""
"","","","","ncloc","376",""
"","","","","comment_lines","29",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","473",""
"opendistro-for-elasticsearch/alerting","155","2018-12-19T20:20:49Z","18","files","75",""
"","","","","code_smells","226","False"
"","","","","lines","10398",""
"","","","","ncloc_language_distribution","java=159;kotlin=7727",""
"","","","","comment_lines","1591",""
"","","","","comment_lines_density","16.8","False"
"","","","","violations","226","False"
"","","","","ncloc","7886",""
"","","","","complexity","884",""
"","","","","sqale_rating","1.0","True"
"","","","","functions","455",""
"","","","","statements","2912",""
"korlibs/korio","155","2016-12-25T21:25:09Z","2","sqale_rating","1.0","True"
"","","","","lines","24013",""
"","","","","ncloc","18629",""
"","","","","functions","1920",""
"","","","","violations","567","False"
"","","","","files","322",""
"","","","","comment_lines_density","9.5","False"
"","","","","complexity","3831",""
"","","","","statements","8716",""
"","","","","code_smells","566","False"
"","","","","ncloc_language_distribution","kotlin=18625;xml=4",""
"","","","","comment_lines","1956",""
"cesarferreira/android-rocket-launcher","155","2016-05-28T22:52:59Z","1","functions","2",""
"","","","","comment_lines_density","0.0","False"
"","","","","statements","13",""
"","","","","complexity","4",""
"","","","","files","1",""
"","","","","code_smells","0","True"
"","","","","ncloc_language_distribution","kotlin=33",""
"","","","","lines","45",""
"","","","","comment_lines","0",""
"","","","","sqale_rating","1.0","True"
"","","","","violations","0","True"
"","","","","ncloc","33",""
"termux/termux-styling","154","2015-12-19T22:15:28Z","6","files","8",""
"","","","","functions","5",""
"","","","","comment_lines_density","2.9","False"
"","","","","ncloc","268",""
"","","","","violations","3","False"
"","","","","complexity","22",""
"","","","","ncloc_language_distribution","kotlin=156;xml=112",""
"","","","","lines","326",""
"","","","","comment_lines","8",""
"","","","","statements","91",""
"","","","","code_smells","2","False"
"","","","","sqale_rating","1.0","True"
"huzenan/EasyPullLayout","154","2017-08-28T16:24:33Z","1","lines","2415",""
"","","","","sqale_rating","1.0","True"
"","","","","statements","432",""
"","","","","comment_lines_density","4.9","False"
"","","","","code_smells","11","False"
"","","","","comment_lines","107",""
"","","","","complexity","252",""
"","","","","ncloc","2063",""
"","","","","functions","78",""
"","","","","violations","11","False"
"","","","","ncloc_language_distribution","java=48;kotlin=1207;xml=808",""
"","","","","files","47",""
"tizisdeepan/EventsCalendar","154","2018-09-18T12:50:27Z","4","code_smells","21","False"
"","","","","comment_lines","16",""
"","","","","violations","21","False"
"","","","","functions","170",""
"","","","","complexity","388",""
"","","","","lines","3010",""
"","","","","ncloc","2659",""
"","","","","statements","866",""
"","","","","files","42",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","kotlin=1850;xml=809",""
"","","","","comment_lines_density","0.6","False"
"yole/jitwatch-intellij","153","2016-07-09T09:41:39Z","1","violations","8","False"
"","","","","comment_lines_density","0.0","False"
"","","","","ncloc_language_distribution","kotlin=1478;xml=49",""
"","","","","comment_lines","0",""
"","","","","functions","155",""
"","","","","lines","1811",""
"","","","","complexity","295",""
"","","","","statements","620",""
"","","","","code_smells","8","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","1527",""
"","","","","files","15",""
"sriharshaarangi/BatteryChargeLimit","153","2017-03-18T04:39:17Z","19","comment_lines","249",""
"","","","","comment_lines_density","5.7","False"
"","","","","lines","4853",""
"","","","","functions","117",""
"","","","","statements","718",""
"","","","","ncloc","4091",""
"","","","","complexity","261",""
"","","","","ncloc_language_distribution","kotlin=1744;xml=2347",""
"","","","","files","74",""
"","","","","code_smells","36","False"
"","","","","violations","36","False"
"","","","","sqale_rating","1.0","True"
"winterbe/expekt","153","2016-02-07T08:48:52Z","4","ncloc_language_distribution","kotlin=1965;xml=197",""
"","","","","functions","182",""
"","","","","ncloc","2162",""
"","","","","statements","1104",""
"","","","","comment_lines","138",""
"","","","","comment_lines_density","6.0","False"
"","","","","code_smells","6","False"
"","","","","files","20",""
"","","","","complexity","213",""
"","","","","violations","6","False"
"","","","","lines","2552",""
"","","","","sqale_rating","1.0","True"
"TheKhaeng/material-design-guideline","153","2017-04-05T08:23:35Z","1","comment_lines_density","7.2","False"
"","","","","functions","118",""
"","","","","lines","8668",""
"","","","","ncloc","6870",""
"","","","","violations","24","False"
"","","","","code_smells","24","False"
"","","","","sqale_rating","1.0","True"
"","","","","statements","507",""
"","","","","ncloc_language_distribution","java=24;kotlin=2287;xml=4559",""
"","","","","files","141",""
"","","","","complexity","199",""
"","","","","comment_lines","537",""
"volodymyrprokopyuk/kotlin-sdp","153","2017-09-27T08:50:39Z","2","lines","1884",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","32","False"
"","","","","statements","252",""
"","","","","comment_lines_density","31.3","False"
"","","","","files","48",""
"","","","","violations","32","False"
"","","","","ncloc_language_distribution","kotlin=1429",""
"","","","","complexity","125",""
"","","","","ncloc","1429",""
"","","","","comment_lines","650",""
"","","","","functions","117",""
"ragunathjawahar/kaffeine","153","2015-01-29T11:33:46Z","2","files","38",""
"","","","","comment_lines_density","23.2","False"
"","","","","complexity","58",""
"","","","","functions","52",""
"","","","","ncloc_language_distribution","java=8;kotlin=844;xml=149",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","302",""
"","","","","violations","7","False"
"","","","","ncloc","1001",""
"","","","","code_smells","7","False"
"","","","","statements","182",""
"","","","","lines","2081",""
"JakeWharton/PxJava","152","2016-11-08T20:13:47Z","1","ncloc","352",""
"","","","","complexity","71",""
"","","","","code_smells","0","True"
"","","","","ncloc_language_distribution","kotlin=352",""
"","","","","files","13",""
"","","","","functions","59",""
"","","","","violations","0","True"
"","","","","lines","627",""
"","","","","comment_lines_density","35.6","False"
"","","","","statements","148",""
"","","","","comment_lines","195",""
"","","","","sqale_rating","1.0","True"
"xmartlabs/fountain","152","2018-05-31T00:54:28Z","2","files","67",""
"","","","","lines","3187",""
"","","","","statements","597",""
"","","","","violations","16","False"
"","","","","complexity","236",""
"","","","","ncloc","2506",""
"","","","","code_smells","16","False"
"","","","","functions","168",""
"","","","","comment_lines_density","9.5","False"
"","","","","ncloc_language_distribution","java=269;kotlin=1991;xml=246",""
"","","","","comment_lines","264",""
"","","","","sqale_rating","1.0","True"
"chahine/pageindicator","152","2018-02-01T09:11:21Z","2","comment_lines_density","1.4","False"
"","","","","comment_lines","17",""
"","","","","ncloc_language_distribution","kotlin=671;xml=492",""
"","","","","complexity","85",""
"","","","","code_smells","13","False"
"","","","","ncloc","1163",""
"","","","","statements","308",""
"","","","","violations","13","False"
"","","","","lines","1323",""
"","","","","files","26",""
"","","","","functions","43",""
"","","","","sqale_rating","1.0","True"
"ahmedrizwan/SeekBarCompat","152","2015-06-30T10:15:14Z","4","lines","764",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","137",""
"","","","","ncloc_language_distribution","java=16;kotlin=440;xml=181",""
"","","","","ncloc","637",""
"","","","","complexity","48",""
"","","","","functions","26",""
"","","","","files","20",""
"","","","","comment_lines_density","17.7","False"
"","","","","statements","149",""
"","","","","violations","5","False"
"","","","","code_smells","4","False"
"Mr-XiaoLiang/RecyclerViewBanner","152","2018-05-10T11:37:25Z","1","code_smells","4","False"
"","","","","statements","362",""
"","","","","ncloc_language_distribution","java=272;kotlin=759;xml=418",""
"","","","","ncloc","1449",""
"","","","","files","25",""
"","","","","violations","6","False"
"","","","","comment_lines","222",""
"","","","","comment_lines_density","13.3","False"
"","","","","lines","1807",""
"","","","","complexity","163",""
"","","","","sqale_rating","1.0","True"
"","","","","functions","97",""
"afollestad/rxkprefs","152","2018-09-02T20:22:17Z","1","files","16",""
"","","","","statements","147",""
"","","","","violations","5","False"
"","","","","complexity","59",""
"","","","","ncloc","884",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","5","False"
"","","","","comment_lines","327",""
"","","","","lines","1041",""
"","","","","functions","57",""
"","","","","ncloc_language_distribution","kotlin=881;xml=3",""
"","","","","comment_lines_density","27.0","False"
"mochixuan/AirPurgeView","151","2017-11-09T09:45:40Z","1","files","27",""
"","","","","code_smells","23","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","1140",""
"","","","","violations","23","False"
"","","","","comment_lines","74",""
"","","","","comment_lines_density","6.1","False"
"","","","","complexity","140",""
"","","","","ncloc_language_distribution","java=48;kotlin=707;xml=385",""
"","","","","functions","70",""
"","","","","statements","380",""
"","","","","lines","1413",""
"sellmair/disposer","151","2018-09-29T12:03:40Z","2","code_smells","9","False"
"","","","","comment_lines","233",""
"","","","","comment_lines_density","22.7","False"
"","","","","files","28",""
"","","","","statements","95",""
"","","","","lines","1010",""
"","","","","ncloc","793",""
"","","","","sqale_rating","1.0","True"
"","","","","functions","30",""
"","","","","violations","9","False"
"","","","","complexity","33",""
"","","","","ncloc_language_distribution","kotlin=524;xml=269",""
"Takhion/android-extras-delegates","151","2017-02-05T20:01:43Z","2","comment_lines","51",""
"","","","","code_smells","1","False"
"","","","","statements","273",""
"","","","","comment_lines_density","3.0","False"
"","","","","sqale_rating","1.0","True"
"","","","","lines","1961",""
"","","","","files","28",""
"","","","","functions","42",""
"","","","","ncloc","1660",""
"","","","","ncloc_language_distribution","kotlin=1657;xml=3",""
"","","","","complexity","46",""
"","","","","violations","1","False"
"jeancsanchez/JcPlayer","151","2016-08-02T12:20:10Z","4","ncloc","2604",""
"","","","","statements","616",""
"","","","","files","59",""
"","","","","complexity","242",""
"","","","","functions","155",""
"","","","","comment_lines_density","13.5","False"
"","","","","sqale_rating","1.0","True"
"","","","","lines","3311",""
"","","","","ncloc_language_distribution","java=332;kotlin=1465;xml=807",""
"","","","","comment_lines","408",""
"","","","","violations","67","False"
"","","","","code_smells","67","False"
"Hexworks/mixite","150","2013-06-06T20:38:42Z","8","ncloc_language_distribution","kotlin=2725",""
"","","","","sqale_rating","1.0","True"
"","","","","files","44",""
"","","","","statements","945",""
"","","","","comment_lines","491",""
"","","","","comment_lines_density","15.3","False"
"","","","","code_smells","0","True"
"","","","","complexity","324",""
"","","","","lines","3288",""
"","","","","functions","224",""
"","","","","violations","0","True"
"","","","","ncloc","2725",""
"aminography/PrimeDatePicker","150","2019-05-23T16:34:01Z","1","files","71",""
"","","","","comment_lines","159",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","6749",""
"","","","","functions","179",""
"","","","","violations","38","False"
"","","","","comment_lines_density","2.7","False"
"","","","","complexity","591",""
"","","","","ncloc","5719",""
"","","","","statements","1773",""
"","","","","code_smells","38","False"
"","","","","ncloc_language_distribution","java=91;kotlin=3679;xml=1949",""
"thanksmister/wallpanel-android","150","2018-06-21T14:45:28Z","8","lines","12107",""
"","","","","statements","2435",""
"","","","","comment_lines","1650",""
"","","","","violations","89","False"
"","","","","code_smells","82","False"
"","","","","ncloc_language_distribution","java=715;kotlin=4855;xml=3132",""
"","","","","functions","408",""
"","","","","complexity","939",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","8702",""
"","","","","files","117",""
"","","","","comment_lines_density","15.9","False"
"traversals/kapsule","150","2017-03-15T12:08:15Z","1","files","43",""
"","","","","lines","1911",""
"","","","","comment_lines_density","33.9","False"
"","","","","complexity","85",""
"","","","","ncloc","1190",""
"","","","","ncloc_language_distribution","java=40;kotlin=1039;xml=111",""
"","","","","violations","11","False"
"","","","","comment_lines","610",""
"","","","","statements","286",""
"","","","","functions","72",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","11","False"
"stfalcon-studio/StfalconPriceRangeBar-android","150","2018-11-13T14:44:57Z","3","statements","950",""
"","","","","complexity","244",""
"","","","","code_smells","10","False"
"","","","","ncloc_language_distribution","kotlin=2142;xml=498",""
"","","","","functions","131",""
"","","","","ncloc","2640",""
"","","","","violations","10","False"
"","","","","comment_lines","231",""
"","","","","sqale_rating","1.0","True"
"","","","","files","26",""
"","","","","comment_lines_density","8.0","False"
"","","","","lines","3101",""
"sannies/isoviewer","150","2014-01-20T13:34:17Z","2","comment_lines_density","3.7","False"
"","","","","ncloc","632",""
"","","","","violations","1","False"
"","","","","lines","727",""
"","","","","comment_lines","24",""
"","","","","ncloc_language_distribution","kotlin=412;xml=220",""
"","","","","statements","185",""
"","","","","functions","15",""
"","","","","files","8",""
"","","","","complexity","40",""
"","","","","code_smells","1","False"
"","","","","sqale_rating","1.0","True"
"ehsunshine/colored-time-selector","150","2018-01-01T18:51:30Z","1","files","94",""
"","","","","statements","586",""
"","","","","violations","11","False"
"","","","","ncloc","3196",""
"","","","","comment_lines","16",""
"","","","","lines","3783",""
"","","","","code_smells","11","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","java=24;kotlin=1798;xml=1374",""
"","","","","functions","157",""
"","","","","comment_lines_density","0.5","False"
"","","","","complexity","221",""
"JetBrains/kotlin-web-demo","150","2012-03-02T13:22:52Z","26","sqale_rating","1.0","True"
"","","","","statements","9962",""
"","","","","comment_lines","2867",""
"","","","","ncloc","28087",""
"","","","","functions","2275",""
"","","","","comment_lines_density","9.3","False"
"","","","","violations","749","False"
"","","","","lines","38131",""
"","","","","ncloc_language_distribution","css=2524;java=8521;js=1588;kotlin=14769;web=227;xml=458",""
"","","","","complexity","3959",""
"","","","","files","678",""
"","","","","code_smells","656","False"
"thomasnield/RxKotlinFX","150","2016-02-15T05:34:09Z","1","ncloc","789",""
"","","","","ncloc_language_distribution","kotlin=789",""
"","","","","violations","0","True"
"","","","","code_smells","0","True"
"","","","","sqale_rating","1.0","True"
"","","","","files","6",""
"","","","","statements","212",""
"","","","","comment_lines","334",""
"","","","","comment_lines_density","29.7","False"
"","","","","lines","945",""
"","","","","complexity","22",""
"","","","","functions","20",""
"Mindinventory/overlap-image-gallery-view","150","2018-10-12T06:46:38Z","2","functions","61",""
"","","","","ncloc_language_distribution","java=24;kotlin=629;xml=464",""
"","","","","files","40",""
"","","","","comment_lines","80",""
"","","","","violations","4","False"
